AOA,Mean,UQ,S1,S2,S3,S12,S13,S23
2,0.00823166,0.001925607,0.184632,0.802402,0.00362686,6.55E-03,1.28E-03,1.51E-03
4,0.007973955,0.002568233,0.245521,0.450443,0.100222,9.21E-02,2.99E-02,8.18E-02
6,0.008964278,0.002330047,0.172745,0.79135,0.00287155,5.98E-03,8.52E-03,1.85E-02
8,0.008807252,0.002342972,0.20954,0.724555,0.00237463,2.88E-02,2.09E-02,1.38E-02
10,0.009824794,0.00242879,0.13705,0.835076,0.0188349,0.0050445,6.61E-05,3.93E-03
12,0.010812185,0.00319235,0.111525,0.551021,0.0793709,0.0983178,8.83E-02,7.15E-02
14,0.013259352,0.00651946,0.152333,0.160927,0.0396738,0.246152,9.27E-02,3.08E-01
17,0.023001707,0.022332505,0.0146914,0.0714272,0.301976,2.88E-02,5.41E-02,5.29E-01
